0.1977802629, 0.5667566582, 58.83978926, 0.6796022986, 0.4816053265, 700.8629593, 0.9612167091, 822.2852579, 3.002403138, 4
0.3596993021, 0.5553324513, 42.46529082, 0.6837080159, 0.4713324513, 1245.3867, 0.9585136183, 1500.821229, 3.027431909, 4
0.4049090889, 0.5884285712, 28.45123399, 0.665558442, 0.4962597401, 1484.198823, 0.9796103891, 1257.715838, 2.924025976, 5
0.1911696905, 0.5484521665, 64.79983505, 0.6881228602, 0.4620639488, 668.0670505, 0.9573464248, 600.3576166, 3.050614301, 5
0.4033317576, 0.5686243827, 38.78780123, 0.6939229013, 0.4798619445, 1425.637456, 0.949502469, 1259.759852, 3.082487655, 5
0.420396978, 0.5931772636, 25.98366934, 0.662736017, 0.5001772636, 1548.149062, 0.9829094558, 1305.764733, 2.907225357, 5
0.1844744278, 0.5457667024, 65.00117989, 0.6916478779, 0.4600017406, 636.6545206, 0.9529401526, 579.3313855, 3.071769313, 5
0.2873032599, 0.593974232, 37.00175708, 0.6930208151, 0.500974232, 1070.135403, 0.9510307209, 900.2512857, 3.074588715, 5
0.6123833221, 0.5826074674, 19.71699193, 0.6598971997, 0.4912313006, 2195.742328, 0.9867523336, 1903.216269, 2.889485999, 5
0.245422456, 0.5753615382, 48.58737263, 0.6915950372, 0.4850671213, 896.4755335, 0.9530062035, 769.7868332, 3.067975186, 5
0.3327325325, 0.5811111323, 36.32380041, 0.6808585415, 0.4902727446, 1211.647507, 0.9629798462, 1036.429834, 3.0105048, 5
0.9151325414, 0.5632315174, 12.60238528, 0.667163181, 0.4748828428, 3204.8963, 0.9806973492, 2848.950335, 2.925815905, 5
0.1585897883, 0.5321232092, 74.60862748, 0.6859394053, 0.4481050308, 530.6944217, 0.9600605947, 498.5862047, 3.03965663, 5
0.6311245202, 0.5814080307, 19.27657378, 0.6603469885, 0.4902192759, 2258.212363, 0.9863775096, 1961.760399, 2.891734942, 5
0.2943814814, 0.5939318474, 36.41579054, 0.6914102018, 0.5009318474, 1095.557238, 0.9527261033, 921.8173973, 3.065687958, 5
0.3074048852, 0.593853863, 35.33765546, 0.6884467926, 0.500853863, 1142.331534, 0.9558454815, 961.4974473, 3.049311222, 5
0.1700815045, 0.5382823823, 70.28050416, 0.6885773876, 0.4534769487, 577.812412, 0.9567782655, 534.4465744, 3.054497805, 5
0.1020673118, 1.882232175, 42.60651545, 0.6929697604, 1.630257544, 1231.376279, 0.9364585308, 422.6071682, 3.071619536, 1
0.06620754467, 1.684, 62.49576488, 0.7246271714, 1.459, 694.8576148, 0.8962075447, 274.9719819, 3.254894348, 1
0.07031501999, 1.761343932, 62.10739586, 0.7186011284, 1.525819283, 798.5810652, 0.9020283349, 290.7815992, 3.216991475, 1
0.173835688, 1.780223728, 36.15190672, 0.6896646797, 1.541527231, 1570.471805, 0.9444195858, 709.0246161, 3.056534933, 1
0.06009634079, 1.871673158, 58.12221329, 0.723121952, 1.621135355, 709.6738656, 0.903756096, 249.7829971, 3.244670736, 1
0.1958727938, 1.734890253, 33.94189982, 0.6844387375, 1.502238219, 1721.514129, 0.9494566386, 797.6395964, 3.026942248, 1
0.08547151312, 1.823121268, 41.50702222, 0.7082830861, 1.57919021, 960.0816098, 0.9255974282, 356.9107963, 3.166415431, 1
0.3904587044, 1.3138255, 13.90320224, 0.6379445804, 1.137387996, 3054.496629, 0.9941391461, 1580.583603, 2.764327859, 1
0.3035999327, 1.424522483, 20.89738838, 0.6573987532, 1.233562851, 2456.84526, 0.9749589757, 1232.882734, 2.876668857, 1
0.2985123748, 1.580391163, 16.70701741, 0.6470195581, 1.368339008, 2576.209377, 0.9874837016, 1212.962941, 2.81344199, 1
0.2094533455, 1.544507408, 28.47841609, 0.6784852128, 1.337807179, 1809.048431, 0.9541695085, 856.0083025, 2.998435736, 1
0.08102551842, 1.802121251, 55.52947227, 0.7099553044, 1.56104779, 944.5690302, 0.9136421284, 335.2482337, 3.167955458, 1
0.07473892488, 1.925893931, 44.62077373, 0.7121858455, 1.667977985, 889.2757981, 0.9223451288, 311.8859624, 3.185929227, 1
0.1364093386, 1.991356606, 23.46682818, 0.6675678303, 1.724509059, 1672.016907, 0.9703601414, 564.6649536, 2.927599057, 1
0.1135776639, 1.92605472, 35.53735644, 0.6836782713, 1.668116894, 1388.266538, 0.9489396355, 470.3945445, 3.018921539, 1
0.1534726478, 1.609711945, 29.40890324, 0.6757058669, 1.390440143, 1535.878681, 0.9707505284, 479.0059996, 2.97815407, 2
0.3144663359, 1.457312666, 15.50499942, 0.6362297031, 1.259111387, 2710.436427, 1.000481436, 949.2639286, 2.748839935, 2
0.1178454018, 1.6, 37.42194372, 0.6877255612, 1.382, 1181.451024, 0.9565930485, 369.2030329, 3.045331282, 2
0.1231072526, 1.572058614, 42.54284141, 0.6903047326, 1.357935648, 1152.107765, 0.9493583589, 380.0576804, 3.058502213, 2
0.07473497294, 1.621038251, 54.1251792, 0.7075118395, 1.400283242, 759.5820517, 0.9299817854, 235.3023506, 3.157568305, 2
0.06705986928, 1.640574878, 60.47342024, 0.7135588909, 1.417261501, 687.8477419, 0.9206786294, 210.9652946, 3.19245514, 2
0.08349096729, 1.597747327, 47.14289391, 0.7008700381, 1.380050571, 840.0813587, 0.9401444021, 263.0451392, 3.119277989, 2
